Decision: Deferred - Wharton[ /color],"SAT I (breakdown M/CR/W/Essay): submitted both 1530 (790 math, 740 English, 20/24 essay) and 1570 (800 math, 770 English, no essay)",ACT (breakdown): n/a,"SAT II (subject, score): math I 760 and 780, math II 800, biology e 800","GPA: 4.0 unweighted, 4.60 weighted (school doesn't offer AP classes until junior year)",Rank (percentile if rank is unavailable): school doesn't rank,Gender: female,Ethnicity: white,Income Bracket Range: middle class,School Type: public
Decision: Accepted - CAS[ /color],SAT I (breakdown M/CR/W/Essay): 710 on Math and CR 19/24 Essay,ACT (breakdown): 31,"SAT II (subject, score): 770 US History 740 Chemistry",GPA: 5.1981/4.5 Weighted,Rank (percentile if rank is unavailable): 16/260,Gender: male,Ethnicity: white,Income Bracket Range: upper middle class,School Type: Public School (low income school)
Decision: Deferred - Wharton[ /color],"SAT I: 1520 (790M, 730R)","ACT: 35 (35G, 35R, 35S, 33M)","SAT II: 770 physics, 800 math II",GPA: Unweighted - 3.94 / Weighted - 4.403,Rank: nope we don't do that,Gender: Female,Ethnicity: Chinese,Income Bracket Range: 250k I think,School Type: large public like 2500 kids
Decision: Deferred - CAS[ /color],SAT I (breakdown M/CR/W/Essay): 750/760/21,,"SAT II (subject, score): 770 Math II, 730 Literature","GPA: 4.0 UW, school doesn't do weighted gpas",Rank (percentile if rank is unavailable): 1/474,Gender: F,Ethnicity: White,Income Bracket Range: 80k,School Type: Large (Low Income) Urban Public
Decision: Deferred - Wharton[ /color],"SAT II (subject, score): Math II (800)",ACT (breakdown): 35 (36/36/35/33/8),"SAT II (subject, score): Math II (800)","GPA: 4.00 UW, weighted: 5.488",Rank (percentile if rank is unavailable): 2/259,Gender: Female,Ethnicity: Asian,"Income Bracket Range: $120,000",School Type: Public
Decision: Accepted - CAS,SAT I (breakdown M/CR/W/Essay): 800/750/22,"ACT (breakdown): 36M, 36E, 34R, 33S, 10 Essay","SAT II (subject, score): Math II: 800, Physics 760","GPA: 95 UW, 105 W",Rank (percentile if rank is unavailable): top 1%,Gender: Female,Ethnicity: White,Income Bracket Range: Doesn’t qualify for FA,"School Type: Public, around 300 kids in grade"
Decision: Rejected - Wharton[ /color],"SAT I (breakdown M/CR/W/Essay):1440 (660 Reading, 780 math)",ACT (breakdown):N/A,"SAT II (subject, score):760 on Chemistry, 750 on Physics, 750 on math1, 740 on math2",GPA:95.5/100,Rank (percentile if rank is unavailable):Top 5%,Gender:Female,Ethnicity:Asian,"Income Bracket Range:>300,000",School Type:Public(Top three school in my city)
,"SAT: didn’t submit, 23 on essay","ACT: 33 one sitting (35 reading, 34 English, 31 Science, 30 math)",,GPA: 4.2,,Gender: female,Ethnicity: White,Income Bracket: <75K,"School Type: Public, pretty average (2400+)"
Decision: Rejected - Huntsman (Chinese)/Wharton,"SAT I (breakdown M/CR/W/Essay): 1540 - 790 M, 750 W+R, 20 Essay","ACT (breakdown): 35 - 36M, 35R, 35 W, 33 S","SAT II (subject, score): 800 Math 2, 800 Chinese, did not submit a 660 in US History","GPA: 4 UW, 4.3415",Rank (percentile if rank is unavailable): 9/556,Gender: Male,Ethnicity: Asian (Chinese),Income Bracket Range: 100k+,"School Type: Public, 2000+ students"
"Decision: Rejected - M&TDecision: Deferred - Engineering (applied second-choice as RD)ObjectiveSAT I (M/CR+W): 1560 (790/770)SAT I superscore (M/CR+W): 1570 (800/770)SAT II: Math II (800), Chemistry (790)Unweighted GPA: 3.95Rank: top 10% probably, school doesn't rankAP: Calculus BC (5), Statistics (5), Physics C: Mechanics (5), Physics C: E&M (5), Chemistry (5), Biology (5), Psych (5), English Lang (5), US History (4), World History (4)Senior Year Course Load: DE Linear Algebra/Differential Equations, DE International Business, AP CompSci Principles, AP Micro/Macro, PLTW Principles of Engineering, Business Internship, Creative ExpressionsNumber of other ED applicants in your school: 6-10Major Awards: none ripCommon Awards: NMSF, National AP Scholar, state-level public speakingSubjectiveExtracurriculars: few school-level clubs where I held tons of leadership... really could have worked harder to stand out here. I'm really passionate about everything I do, but I spread myself too thin and didn't do anything notably impressive.Job/Work Experience: intern for consulting firm, worked with cool companies but didn't do anything too specialVolunteer/Community Service: mentored middle schoolers in public speaking, related to my overcoming of social anxietySummer Experience: see above Job/Work ExperienceTeacher/Counselor Recommendations: 8-9/10, didn't get to see them but I'm really close with all of themInterview: 10/10, really connected with him and he really liked my overall ""story"", but this plays almost null role soWritingCommonApp Essay: 8/10 - overcoming social anxietyWhy Penn: 10/10 - hands down, best essay... I did focus on both SEAS and Wharton though, I know the prompt said only your second choice (SEAS for me)Disruptive Technology: 7/10 - BMIs, really passionate about this though it came off more academic than I'd have likedCreativity & Leadership: 6/10 - changed at last minute ripOtherDate Submitted App: 11/01, ifykykApplied for Financial Aid? NoU.S. State/Territory or Country: Midwest, not PASchool Type: Public, more competitive than most but not crazyEthnicity: Asian ripGender: MaleIncome Bracket Range: $200k+Hooks: N/AReflectionStrengths: scores, internship, relationships (recs/interview)Weaknesses: not doing anything substantial in high school Where else were you accepted/deferred/rejected: nothing noteworthy yet, expecting Michigan result on 19thWhat would you have done differently?: cured cancer. jk, but still I would have focused my efforts on a specific thing - enacting a quantifiable change (founding a nonprofit and raising $20k+), creating a profitable business, winning a major competition (Olympiad, Intel)","SAT I (M/CR+W): 1560 (790/770)SAT I superscore (M/CR+W): 1570 (800/770)SAT II: Math II (800), Chemistry (790)Unweighted GPA: 3.95Rank: top 10% probably, school doesn't rankAP: Calculus BC (5), Statistics (5), Physics C: Mechanics (5), Physics C: E&M (5), Chemistry (5), Biology (5), Psych (5), English Lang (5), US History (4), World History (4)Senior Year Course Load: DE Linear Algebra/Differential Equations, DE International Business, AP CompSci Principles, AP Micro/Macro, PLTW Principles of Engineering, Business Internship, Creative ExpressionsNumber of other ED applicants in your school: 6-10Major Awards: none ripCommon Awards: NMSF, National AP Scholar, state-level public speakingSubjectiveExtracurriculars: few school-level clubs where I held tons of leadership... really could have worked harder to stand out here. I'm really passionate about everything I do, but I spread myself too thin and didn't do anything notably impressive.Job/Work Experience: intern for consulting firm, worked with cool companies but didn't do anything too specialVolunteer/Community Service: mentored middle schoolers in public speaking, related to my overcoming of social anxietySummer Experience: see above Job/Work ExperienceTeacher/Counselor Recommendations: 8-9/10, didn't get to see them but I'm really close with all of themInterview: 10/10, really connected with him and he really liked my overall ""story"", but this plays almost null role soWritingCommonApp Essay: 8/10 - overcoming social anxietyWhy Penn: 10/10 - hands down, best essay... I did focus on both SEAS and Wharton though, I know the prompt said only your second choice (SEAS for me)Disruptive Technology: 7/10 - BMIs, really passionate about this though it came off more academic than I'd have likedCreativity & Leadership: 6/10 - changed at last minute ripOtherDate Submitted App: 11/01, ifykykApplied for Financial Aid? NoU.S. State/Territory or Country: Midwest, not PASchool Type: Public, more competitive than most but not crazyEthnicity: Asian ripGender: MaleIncome Bracket Range: $200k+Hooks: N/AReflectionStrengths: scores, internship, relationships (recs/interview)Weaknesses: not doing anything substantial in high school Where else were you accepted/deferred/rejected: nothing noteworthy yet, expecting Michigan result on 19thWhat would you have done differently?: cured cancer. jk, but still I would have focused my efforts on a specific thing - enacting a quantifiable change (founding a nonprofit and raising $20k+), creating a profitable business, winning a major competition (Olympiad, Intel)",,"SAT II: Math II (800), Chemistry (790)Unweighted GPA: 3.95Rank: top 10% probably, school doesn't rankAP: Calculus BC (5), Statistics (5), Physics C: Mechanics (5), Physics C: E&M (5), Chemistry (5), Biology (5), Psych (5), English Lang (5), US History (4), World History (4)Senior Year Course Load: DE Linear Algebra/Differential Equations, DE International Business, AP CompSci Principles, AP Micro/Macro, PLTW Principles of Engineering, Business Internship, Creative ExpressionsNumber of other ED applicants in your school: 6-10Major Awards: none ripCommon Awards: NMSF, National AP Scholar, state-level public speakingSubjectiveExtracurriculars: few school-level clubs where I held tons of leadership... really could have worked harder to stand out here. I'm really passionate about everything I do, but I spread myself too thin and didn't do anything notably impressive.Job/Work Experience: intern for consulting firm, worked with cool companies but didn't do anything too specialVolunteer/Community Service: mentored middle schoolers in public speaking, related to my overcoming of social anxietySummer Experience: see above Job/Work ExperienceTeacher/Counselor Recommendations: 8-9/10, didn't get to see them but I'm really close with all of themInterview: 10/10, really connected with him and he really liked my overall ""story"", but this plays almost null role soWritingCommonApp Essay: 8/10 - overcoming social anxietyWhy Penn: 10/10 - hands down, best essay... I did focus on both SEAS and Wharton though, I know the prompt said only your second choice (SEAS for me)Disruptive Technology: 7/10 - BMIs, really passionate about this though it came off more academic than I'd have likedCreativity & Leadership: 6/10 - changed at last minute ripOtherDate Submitted App: 11/01, ifykykApplied for Financial Aid? NoU.S. State/Territory or Country: Midwest, not PASchool Type: Public, more competitive than most but not crazyEthnicity: Asian ripGender: MaleIncome Bracket Range: $200k+Hooks: N/AReflectionStrengths: scores, internship, relationships (recs/interview)Weaknesses: not doing anything substantial in high school Where else were you accepted/deferred/rejected: nothing noteworthy yet, expecting Michigan result on 19thWhat would you have done differently?: cured cancer. jk, but still I would have focused my efforts on a specific thing - enacting a quantifiable change (founding a nonprofit and raising $20k+), creating a profitable business, winning a major competition (Olympiad, Intel)","GPA: 3.95Rank: top 10% probably, school doesn't rankAP: Calculus BC (5), Statistics (5), Physics C: Mechanics (5), Physics C: E&M (5), Chemistry (5), Biology (5), Psych (5), English Lang (5), US History (4), World History (4)Senior Year Course Load: DE Linear Algebra/Differential Equations, DE International Business, AP CompSci Principles, AP Micro/Macro, PLTW Principles of Engineering, Business Internship, Creative ExpressionsNumber of other ED applicants in your school: 6-10Major Awards: none ripCommon Awards: NMSF, National AP Scholar, state-level public speakingSubjectiveExtracurriculars: few school-level clubs where I held tons of leadership... really could have worked harder to stand out here. I'm really passionate about everything I do, but I spread myself too thin and didn't do anything notably impressive.Job/Work Experience: intern for consulting firm, worked with cool companies but didn't do anything too specialVolunteer/Community Service: mentored middle schoolers in public speaking, related to my overcoming of social anxietySummer Experience: see above Job/Work ExperienceTeacher/Counselor Recommendations: 8-9/10, didn't get to see them but I'm really close with all of themInterview: 10/10, really connected with him and he really liked my overall ""story"", but this plays almost null role soWritingCommonApp Essay: 8/10 - overcoming social anxietyWhy Penn: 10/10 - hands down, best essay... I did focus on both SEAS and Wharton though, I know the prompt said only your second choice (SEAS for me)Disruptive Technology: 7/10 - BMIs, really passionate about this though it came off more academic than I'd have likedCreativity & Leadership: 6/10 - changed at last minute ripOtherDate Submitted App: 11/01, ifykykApplied for Financial Aid? NoU.S. State/Territory or Country: Midwest, not PASchool Type: Public, more competitive than most but not crazyEthnicity: Asian ripGender: MaleIncome Bracket Range: $200k+Hooks: N/AReflectionStrengths: scores, internship, relationships (recs/interview)Weaknesses: not doing anything substantial in high school Where else were you accepted/deferred/rejected: nothing noteworthy yet, expecting Michigan result on 19thWhat would you have done differently?: cured cancer. jk, but still I would have focused my efforts on a specific thing - enacting a quantifiable change (founding a nonprofit and raising $20k+), creating a profitable business, winning a major competition (Olympiad, Intel)","Rank: top 10% probably, school doesn't rankAP: Calculus BC (5), Statistics (5), Physics C: Mechanics (5), Physics C: E&M (5), Chemistry (5), Biology (5), Psych (5), English Lang (5), US History (4), World History (4)Senior Year Course Load: DE Linear Algebra/Differential Equations, DE International Business, AP CompSci Principles, AP Micro/Macro, PLTW Principles of Engineering, Business Internship, Creative ExpressionsNumber of other ED applicants in your school: 6-10Major Awards: none ripCommon Awards: NMSF, National AP Scholar, state-level public speakingSubjectiveExtracurriculars: few school-level clubs where I held tons of leadership... really could have worked harder to stand out here. I'm really passionate about everything I do, but I spread myself too thin and didn't do anything notably impressive.Job/Work Experience: intern for consulting firm, worked with cool companies but didn't do anything too specialVolunteer/Community Service: mentored middle schoolers in public speaking, related to my overcoming of social anxietySummer Experience: see above Job/Work ExperienceTeacher/Counselor Recommendations: 8-9/10, didn't get to see them but I'm really close with all of themInterview: 10/10, really connected with him and he really liked my overall ""story"", but this plays almost null role soWritingCommonApp Essay: 8/10 - overcoming social anxietyWhy Penn: 10/10 - hands down, best essay... I did focus on both SEAS and Wharton though, I know the prompt said only your second choice (SEAS for me)Disruptive Technology: 7/10 - BMIs, really passionate about this though it came off more academic than I'd have likedCreativity & Leadership: 6/10 - changed at last minute ripOtherDate Submitted App: 11/01, ifykykApplied for Financial Aid? NoU.S. State/Territory or Country: Midwest, not PASchool Type: Public, more competitive than most but not crazyEthnicity: Asian ripGender: MaleIncome Bracket Range: $200k+Hooks: N/AReflectionStrengths: scores, internship, relationships (recs/interview)Weaknesses: not doing anything substantial in high school Where else were you accepted/deferred/rejected: nothing noteworthy yet, expecting Michigan result on 19thWhat would you have done differently?: cured cancer. jk, but still I would have focused my efforts on a specific thing - enacting a quantifiable change (founding a nonprofit and raising $20k+), creating a profitable business, winning a major competition (Olympiad, Intel)","Gender: MaleIncome Bracket Range: $200k+Hooks: N/AReflectionStrengths: scores, internship, relationships (recs/interview)Weaknesses: not doing anything substantial in high school Where else were you accepted/deferred/rejected: nothing noteworthy yet, expecting Michigan result on 19thWhat would you have done differently?: cured cancer. jk, but still I would have focused my efforts on a specific thing - enacting a quantifiable change (founding a nonprofit and raising $20k+), creating a profitable business, winning a major competition (Olympiad, Intel)","Ethnicity: Asian ripGender: MaleIncome Bracket Range: $200k+Hooks: N/AReflectionStrengths: scores, internship, relationships (recs/interview)Weaknesses: not doing anything substantial in high school Where else were you accepted/deferred/rejected: nothing noteworthy yet, expecting Michigan result on 19thWhat would you have done differently?: cured cancer. jk, but still I would have focused my efforts on a specific thing - enacting a quantifiable change (founding a nonprofit and raising $20k+), creating a profitable business, winning a major competition (Olympiad, Intel)","Income Bracket Range: $200k+Hooks: N/AReflectionStrengths: scores, internship, relationships (recs/interview)Weaknesses: not doing anything substantial in high school Where else were you accepted/deferred/rejected: nothing noteworthy yet, expecting Michigan result on 19thWhat would you have done differently?: cured cancer. jk, but still I would have focused my efforts on a specific thing - enacting a quantifiable change (founding a nonprofit and raising $20k+), creating a profitable business, winning a major competition (Olympiad, Intel)","School Type: Public, more competitive than most but not crazyEthnicity: Asian ripGender: MaleIncome Bracket Range: $200k+Hooks: N/AReflectionStrengths: scores, internship, relationships (recs/interview)Weaknesses: not doing anything substantial in high school Where else were you accepted/deferred/rejected: nothing noteworthy yet, expecting Michigan result on 19thWhat would you have done differently?: cured cancer. jk, but still I would have focused my efforts on a specific thing - enacting a quantifiable change (founding a nonprofit and raising $20k+), creating a profitable business, winning a major competition (Olympiad, Intel)"
Decision: Rejected - Huntsman,SAT I (breakdown M/CR/W/Essay): 1420 in one sitting- 760/740CR & 640/680M,"ACT (breakdown):30- 29M, 33R, 31W, 27S","SAT II (subject, score):taken, but not in time for app","GPA:I'm not sure? 4.0 UW I think? I've switched schools a lot, so I'm not up to date on all my stats",Rank (percentile if rank is unavailable): 25/275 I think- I only got to take AP courses this year because my old school didn't allow it,Gender: female,Ethnicity: white,Income Bracket Range:can't say exactly,"School Type: Now public, last year German, before that very small private"
Decision: Rejected - M&T[ /color],SAT I (breakdown M/CR/W/Essay): 800/730/18,ACT (breakdown):,"SAT II (subject, score): 790 French 740 Math 2 710 Chem",GPA: 4.0,Rank (percentile if rank is unavailable): top 10%,Gender:M,Ethnicity: Bengali,Income Bracket Range: 150k,School Type: canadian CEGEP
Decision: Accepted - CAS[ /color],SAT I (breakdown M/CR/W/Essay): N/A,"ACT (breakdown): 33 (R: 36, M: 31, E: 32, S: 31)","SAT II (subject, score): did not take-ik oof",GPA: school does not have gpa but I when I applied for some scholarships I had to calculate it and it was a 3.92/4.0,Rank (percentile if rank is unavailable): School does not rank,Gender: Female,Ethnicity: White/Jewish,"Income Bracket Range: over 500,000",School Type: Private
Decision: Deferred - Wharton,SAT I (breakdown M/CR/W/Essay): 1560 -- 790/770,ACT (breakdown): 34 single sitting composite,"SAT II (subject, score): 800s on math 2 and physics",GPA: 4.00UW ~4.5W,Rank (percentile if rank is unavailable):N/a,Gender: Male,Ethnicity: White jew,Income Bracket Range: middle class suburbia,"School Type: Public and good, but not one of those whack schools. ACT avg is like 24 for reference"
Decision: Rejected - Wharton,SAT I (breakdown M/CR/W/Essay): 1590: 800 M / 790CR (one sitting),ACT (breakdown):,"SAT II (subject, score): Math Level II 800.",GPA: 3.7 unweighted/4.2 weighted,Rank (percentile if rank is unavailable): Top 10%,Gender: Male,Ethnicity: Caucasian,Income Bracket Range: Too much to qualify for financial aid,School Type: Public HS
Decision: Accepted - Nursing[ /color],SAT I (breakdown M/CR/W/Essay): N/A,"ACT (breakdown): 33 (35 English, 32 Math, 32 Reading, 32 Science)","SAT II (subject, score): N/A","GPA: 4.14 W, 3.84 UW (upward trend)",Rank (percentile if rank is unavailable): N/A,Gender: Female,Ethnicity: White,Income Bracket Range: ~180k,School Type: Public 2000+ students
Decision,SAT,ACT,Subject_tests,GPA,Rank,Gender,Ethnicity,Income_Bracket,School_Type
,,,,,,,,,
Decision: Rejected - Wharton[ /color],SAT I: 1570 (800M 770R) Only sitting,ACT (breakdown): 36C (36E 36M 35R 36S),"SAT II (subject, score): 800-Math Level II, 750 US History, 740 Literature",GPA: 4.0,Rank (percentile if rank is unavailable): Tied 1st/49,Gender: Male,Ethnicity: White,Income Bracket Range: 100k+,School Type: Public
Decision: Rejected - SEAS,SAT I (breakdown M/CR/W/Essay): 1470 740M/730R,ACT (breakdown): n/a,"SAT II (subject, score): didn't submit",GPA: 3.97/4.16,Rank (percentile if rank is unavailable): 45/330,Gender: male,Ethnicity: white,Income Bracket Range: 200k+,School Type: public
Decision: Rejected - SEAS[ /color],"SAT I superscore (breakdown M/CR/W/Essay): 1530 (730CR, 800M)",,"SAT II (subject, score): 780 Math II, 730 Chemistry",GPA: 4.05 Weighted/ NA Unweighted,Rank (percentile if rank is unavailable): Top 5%,Gender:Male,Ethnicity:White,"Income Bracket Range: Less than 100,000",School Type:Public
Decision: Rejected - SEAS[ /color],SAT I (breakdown M/CR/W/Essay): 790/760/21,ACT (breakdown):,"SAT II (subject, score):800 Math II, 800 Chem",GPA: 94 average,Rank (percentile if rank is unavailable): N/A,Gender: Male,Ethnicity: Asian,Income Bracket Range:70 000 k,School Type: Public
Decision: Rejected - Wharton (RED),SAT I (breakdown M/CR/W/Essay): 1280; 650/630 20/24 Essay,ACT (breakdown): N/A,"SAT II (subject, score): N/A","GPA: 3.89 unweighted, 4.11 weighted",Rank (percentile if rank is unavailable): Does not report,Gender: Male,"Ethnicity: Half Pacific Islander, Half White",Income Bracket Range: 160K+,School Type: Private Catholic School
,,,,,,,,,
Decision: Rejected - CAS,SAT I (breakdown M/CR/W/Essay): N/A,"ACT (breakdown): 35C (36E, 34M, 35R, 34S), 8/12 essay (1 sitting)","SAT II (subject, score): Spanish w/ Listening (800), Literature (710)",GPA: 3.77/4 UW(bad freshman year... I know). 4.47 W,Rank (percentile if rank is unavailable): 15/430 (hardest course load in the school helps my low UW),Gender: M,Ethnicity: Hispanic,Income Bracket Range: Pell-grant,School Type: Mid/large public
Decision: Accepted - CAS[ /color],SAT I (breakdown M/CR/W/Essay): N/A,ACT : 33C,"SAT II (subject, score): Biology 710, Literature 650",GPA: 3.97 uw/4.47 w,Rank (percentile if rank is unavailable): N/A,Gender: F,Ethnicity: Asian,Income Bracket Range: rather not say,"School Type: Private all girls, small"
Decision: Rejected - CAS,SAT I (breakdown M/CR/W/Essay): 1560; 800/760; 20/24,"ACT (breakdown): 36; 36,36,35,35","SAT II (subject, score): Math II - 800; Chem - 770; Bio E - 760",GPA: 3.98UW / 4.48W,Rank (percentile if rank is unavailable): 16/386,Gender: Female,Ethnicity: Asian,Income Bracket Range: 200k+,School Type: Public
Decision: Accepted - Nursing,SAT I (breakdown M/CR/W/Essay): 1500 - 770CR / 730M,ACT (breakdown): 34 - 36W / 35R / 35S / 29M,"SAT II (subject, score): Didn't study so I did bad and didn't send",GPA: Technically my school doesn't calculate GPA but it's somewhere around 3.5,Rank (percentile if rank is unavailable): School doesn't rank,Gender: Female,Ethnicity: Black,Income Bracket Range: 200k+,School Type: STEM Magnet Boarding School
Decision: Deferred - CAS[ /color],SAT I (breakdown): 740 R+W 730 M 1450C,ACT (breakdown): 35E 35M 32R 28S (rip) 33C,"SAT II: 740 Bio M, 730 Math II, 800 Spanish w listening",GPA (out of 4.0): 3.96,Rank (percentile if rank is unavailable): n/a,Gender: F,"Ethnicity: Hispanic/Latino, racially Chinese",Income Bracket: high,"School Type: international, private, large"
Decision:Accepted-CAS,SAT I (breakdown M/CR/W/Essay): 1540 (780 reading 760 math) 24 essay single-sitting,ACT (breakdown): didn't send,"SAT II (subject, score): Math 2: 780 Chem: 780",GPA: 3.88UW 4.37W,Rank (percentile if rank is unavailable): n/a,Gender: Male,Ethnicity: Asian,Income Bracket Range: low af,School Type: Public
Decision: Rejected - Wharton[ /color],"SAT I (breakdown M/CR/W/Essay): 1550 (750 English, 800 Math)",,"SAT II (subject, score): 800 Math II, 700 US History, 670 World History",GPA (out of 4.0): 4.0,Rank (percentile if rank is unavailable): N/A,Gender: Male,Ethnicity: White,,School Type: Large Public School
Decision status: Rejected - Wharton for BEPP [/color],SAT I (breakdown M/ERW): 1500 - 790/710 (NEW) (Best sitting),,"SAT II (subject, score): Math II, 800 (Best sitting)","GPA: NA (Around 3.7 UW ) (amazing grades in the 10th and 11th, but my 9th grade was pathetically low. My GPA increased 240% between freshman and sophmore year).",Rank (percentile if rank is unavailable): NA (Around the top 10%).,Gender: Male,Ethnicity: Asian (Indian),Income Bracket Range:,
Decision: Accepted - CAS,"SAT I (breakdown M/CR/W/Essay): 1590 (800 M, 790 CR/W)",,"SAT II (subject, score): 800 Bio M, 800 Math II",GPA: 5.0/5.0,Rank (percentile if rank is unavailable): Top 1%,Gender: M,Ethnicity: Asian,Income Bracket Range: > 200k,School Type: Public
Decision: Accepted - CAS,SAT I (breakdown M/CR/W/Essay): N/A,"ACT (breakdown): Composite 35 (Math 35, Science 36, English 34, Reading 33, Writing 9)","SAT II (subject, score): Math level II 800 / Chemistry 800 / Physics 800",GPA: 4.29 (out of 4.0),Rank (percentile if rank is unavailable): 6 / 27,Gender: Male,Ethnicity: Asian (Korean),Income Bracket Range: Just a decent middle class Korean family,School Type: International Boarding School
Decision: Accepted - Nursing,SAT I (breakdown M/CR/W/Essay): N/A,"ACT (breakdown): 34C (30M, 36R, 34W, 35S)","SAT II (subject, score): N/A",GPA: pretty bad,Rank (percentile if rank is unavailable): school doesn't rank,Gender: female,Ethnicity: white,Income Bracket Range: middle class,School Type: public
Decision: Accepted - SEAS[ /color],"SAT I (breakdown M/CR/W/Essay): 1580 (800 M, 780 E)",ACT (breakdown): N/A,"SAT II (subject, score): 800 Math II, 800 Chem, 800 Physics","GPA: 4.0 UW, 5.1 W",Rank (percentile if rank is unavailable): 2/283,Gender: female,Ethnicity: Asian (Indian),Income Bracket Range: ~250k,School Type: medium public
"Decision: Accepted, School of Nursing",SAT I (breakdown M/CR/W/Essay): N/A,"ACT (breakdown): 35C (36R, 35E, 34S, 33M) one sitting","SAT II (subject, score): 800 Biology E",GPA: UW: 3.99 W: 4.4,Rank (percentile if rank is unavailable): Does not rank,Gender: Female,Ethnicity: Taiwanese haha,"Income Bracket Range: Less than $25,000","School Type: Small, EXTREMELY competitive public school (ranked U.S. top 25 high school)"
Decision,SAT,ACT,Subject_tests,GPA,Rank,Gender,Ethnicity,Income_Bracket,School_Type
,,,,,,,,,
Decision: Rejected ,"SAT I (Comp, Essay, CR, M, CW):1490, 19, 33,800, 36","ACT (Comp, Essay, Eng, Math, Read, Sci):N/A","SAT II (Type, Score):Chem-770 Math II-800",GPA (out of 4.0):5.01,Rank (percentile if rank is unavailable): top 6.4%,Gender:Male,Ethnicity:Asian,Income Bracket: 200K+,School Type:Public
Decision: Accepted!!!!!!!!!!,"SAT II (Type, Score): none","ACT (Comp, Essay, Eng, Math, Read, Sci): 34,8,35,35,36,28","SAT II (Type, Score): none",GPA : 4.53/5.0,Rank (percentile if rank is unavailable): 12/425,Gender: Male,Ethnicity: White,Income Bracket: 30k-50k,"School Type: Public, suburban"
,,,,,,,,,
Decision: RejectedObjective:,SAT I: N/A,ACT:,SAT II:,GPA: N/A,Rank (percentile if rank is unavailable): N/A,Gender: Male,Ethnicity: Asian,"Income Bracket: 130k currently, 100k next year (mom's quitting her job)",School Type: International
Decisions for other schools,"SAT II (Type, Score): Math II (800), US History (800)","ACT (Comp, Essay, Eng, Math, Read, Sci): 35 (36 E, 35 M, 35 R, 33 S)","SAT II (Type, Score): Math II (800), US History (800)",GPA (out of ??): 4.45/4.0 (total of 11 APs w/all As at my school),Rank (percentile if rank is unavailable): 6/750,Gender: female,Ethnicity: white,"Income Bracket: >250,000",School Type: public school w/2800+ students
Decision: Accepted[/b][/color][/size],SAT I (breakdown): Didn't take,"ACT (breakdown): 35 C (35 E, 35 M, 32 R, 36 S)",SAT II: Didn't take,"GPA (out of 4.0): 94.39/100, school counts that as 3.9",Rank (percentile if rank is unavailable): Top 15% of 220 ,Gender: Female,Ethnicity: White,Income Bracket: Would rather not say,School Type: Rural Public
Decision: ACCEPTED!!!,SAT I (breakdown): Didn't take,"ACT (breakdown): 35 C (35 E, 35 M, 32 R, 36 S)",SAT II: Didn't take,GPA (out of 4.0): 94.39/100,Rank (percentile if rank is unavailable): Top 15% of 220,Gender: Female,Ethnicity: White,Income Bracket: Rather not say,School Type: Rural Public
Decision: Accepted (to Medill for Journalism),"SAT I (Comp, Essay, CR/W, M): 1530, 14, 790, 740","ACT (Comp, Essay, Eng, Math, Read, Sci): n/a","SAT II (Type, Score): Math 1 (660), US History (660), English Lit (790)",GPA (out of ??): n/a (school only uses uw GPAs),"Rank (percentile if rank is unavailable): n/a (homeschooled, will graduate from a homeschool group with a class of... 6)",Gender: Female,Ethnicity: Asian/white,"Income Bracket: $80,000","School Type: homeschooled, part of a PSP if that means anything to you"
,SAT 1540 second time,ACT 35 First time,,GPA 4.66,,,,,
Decision,SAT,ACT,Subject_tests,GPA,Rank,Gender,Ethnicity,Income_Bracket,School_Type
Decision: Rejected,"SAT I (Comp, Essay, CR, M, CW): 1570, 770 English, 800 Math","ACT (Comp, Essay, Eng, Math, Read, Sci): 36, E36 M36 R35 S36","SAT II (Type, Score): 800 on Math II, 750 on US History, 740 on Lit",GPA (out of ??): School doesn't do that,Rank (percentile if rank is unavailable): 1/49,Gender: Male,Ethnicity: White,Income Bracket: 100k-120k,School Type: Public Magnet
Decision: Accepted,"SAT I (breakdown): 1550, 800 M, 750 CR","ACT (breakdown): 35 E, 35 M, 34 R, 34 S","SAT II: 780 US History, 780 Math II",GPA (out of 4.0): 4.0,Rank (percentile if rank is unavailable): None,Gender: Male,Ethnicity: White,Income Bracket: About 250k,School Type: Public
Decision: Accepted,"SAT I (Comp, Essay, CR, M, CW): 1560, 7 7 7 essay, 790 M, 770 R","ACT (Comp, Essay, Eng, Math, Read, Sci): N/A","SAT II (Type, Score): Math II - 800, Biology (Molecular) - 760, Literature - 740",GPA (out of ??): 4:82 out of 5,Rank (percentile if rank is unavailable): 21 out of ~310,Gender: Female,Ethnicity: East Asian,Income Bracket: ~100k,School Type: public
Decision: Accepted[/b][/color][/size],"SAT I (Comp, Essay, CR, M, CW): 1570, 21 essay, 800 M, 770 R","ACT (Comp, Essay, Eng, Math, Read, Sci): N/A","SAT II (Type, Score): Math II - 800, Chemistry - 790, US His-800",GPA (out of ??): 4.5 out of 5,Rank (percentile if rank is unavailable):,Gender: Male,Ethnicity: Chinese (R I PPPPPPPPPPPP),Income Bracket: ~100k,School Type: public
